Age,Status,Education,Years,Profession,Capitalgains,Capitalloss,Native,Zodiak
29,State-gov,Assoc-acdm,12,Prof-specialty,0,0,United-States,Leo
31,Self-emp-inc,Bachelors,13,Exec-managerial,0,0,United-States,Pisces
56,Self-emp-not-inc,10th,6,Sales,0,0,United-States,Aquarius
50,Private,7th-8th,4,Craft-repair,3411,0,United-States,Libra
36,Self-emp-not-inc,Bachelors,13,Exec-managerial,7298,0,United-States,Pisces
29,Private,HS-grad,9,Adm-clerical,0,0,United-States,Gemini
44,Private,HS-grad,9,Sales,0,0,United-States,Pisces
21,Private,Some-college,10,Prof-specialty,0,0,United-States,Sagittarius
49,Private,Some-college,10,Craft-repair,0,0,United-States,Aquarius
33,Private,Some-college,10,Adm-clerical,263155,0,United-States,Pisces
25,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Taurus
39,Private,Bachelors,13,Exec-managerial,0,0,United-States,Cancer
31,Local-gov,Bachelors,13,Prof-specialty,260795,0,Germany,Virgo
21,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
42,Self-emp-not-inc,HS-grad,9,Craft-repair,244524,0,United-States,Gemini
53,Local-gov,HS-grad,9,Exec-managerial,284108,0,United-States,Cancer
22,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
28,Private,HS-grad,9,Other-service,0,0,United-States,Pisces
51,Self-emp-inc,Bachelors,13,Protective-serv,0,12755,United-States,Virgo
67,?,HS-grad,9,?,2329,0,United-States,Cancer
38,Private,Prof-school,15,Prof-specialty,0,10032,United-States,Aquarius
73,Private,Assoc-voc,11,Prof-specialty,25124,0,United-States,Pisces
34,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Libra
54,Private,7th-8th,4,Machine-op-inspct,0,3900,United-States,Pisces
38,Private,Bachelors,13,Exec-managerial,262954,0,United-States,Cancer
24,Private,Some-college,10,Adm-clerical,0,0,Laos,Aquarius
36,Private,Assoc-voc,11,Exec-managerial,0,0,United-States,Scorpio
25,Private,10th,6,Craft-repair,0,0,United-States,Capricorn
61,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
48,Self-emp-inc,Bachelors,13,Exec-managerial,7298,0,United-States,Gemini
36,Private,Bachelors,13,Sales,0,0,United-States,Pisces
23,Federal-gov,Some-college,10,Handlers-cleaners,0,0,United-States,Pisces
54,Private,Some-college,10,Prof-specialty,0,0,United-States,Pisces
34,Private,Some-college,10,Transport-moving,0,2179,United-States,Taurus
42,Private,HS-grad,9,Sales,4064,0,United-States,Sagittarius
70,Federal-gov,HS-grad,9,Adm-clerical,0,0,United-States,Aquarius
46,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Aquarius
28,Private,7th-8th,4,Other-service,0,0,Mexico,Capricorn
23,Private,HS-grad,9,Sales,0,0,United-States,Cancer
47,Private,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
39,Private,10th,6,Other-service,0,0,United-States,Gemini
31,Private,Some-college,10,Adm-clerical,0,0,United-States,Capricorn
69,Self-emp-not-inc,Some-college,10,Craft-repair,247484,0,United-States,Sagittarius
52,State-gov,Doctorate,16,Prof-specialty,0,0,Iran,Cancer
46,State-gov,Prof-school,15,Prof-specialty,0,1564,United-States,Capricorn
51,Local-gov,HS-grad,9,Protective-serv,0,0,United-States,Aquarius
43,Local-gov,Assoc-voc,11,Transport-moving,0,0,United-States,Sagittarius
65,Self-emp-inc,11th,7,Exec-managerial,6418,0,United-States,Scorpio
28,Private,HS-grad,9,Other-service,0,0,Puerto-Rico,Gemini
26,Private,9th,5,Other-service,0,0,United-States,Taurus
34,Self-emp-not-inc,HS-grad,9,Craft-repair,247806,0,United-States,Sagittarius
41,Private,Masters,14,Exec-managerial,0,0,United-States,Capricorn
52,Private,HS-grad,9,Sales,0,0,United-States,Libra
39,Private,Bachelors,13,Exec-managerial,0,0,United-States,Leo
28,Private,Bachelors,13,Exec-managerial,0,0,United-States,Gemini
51,Self-emp-not-inc,Some-college,10,Prof-specialty,0,0,United-States,Taurus
58,Self-emp-inc,HS-grad,9,Sales,15024,0,United-States,Aquarius
48,Private,Bachelors,13,Prof-specialty,0,0,Italy,Virgo
27,Private,HS-grad,9,Adm-clerical,0,0,United-States,Gemini
33,State-gov,Masters,14,Prof-specialty,0,0,United-States,Capricorn
47,Private,HS-grad,9,Other-service,0,0,United-States,Sagittarius
46,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Aquarius
50,Private,Bachelors,13,Transport-moving,7298,0,United-States,Aquarius
35,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
30,Private,HS-grad,9,Machine-op-inspct,235234,0,United-States,Scorpio
32,Private,Assoc-voc,11,Tech-support,0,0,United-States,Virgo
61,Private,HS-grad,9,Transport-moving,0,0,United-States,Virgo
38,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
70,Self-emp-inc,9th,5,Sales,0,0,United-States,Pisces
53,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Gemini
50,Private,10th,6,Transport-moving,0,0,United-States,Scorpio
33,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
45,Private,HS-grad,9,Adm-clerical,0,0,United-States,Leo
30,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
29,Federal-gov,Prof-school,15,Prof-specialty,0,0,United-States,Sagittarius
67,?,Assoc-voc,11,?,0,0,United-States,Capricorn
32,Private,Some-college,10,Tech-support,0,0,United-States,Scorpio
33,Private,Some-college,10,Adm-clerical,0,0,United-States,Gemini
72,Federal-gov,11th,7,Adm-clerical,0,0,Canada,Leo
61,?,Masters,14,?,0,0,United-States,Virgo
30,Private,Bachelors,13,Tech-support,0,0,United-States,Pisces
29,Private,HS-grad,9,Protective-serv,0,0,Peru,Pisces
23,?,HS-grad,9,?,0,0,United-States,Virgo
25,Private,Bachelors,13,Sales,0,0,United-States,Libra
30,Private,HS-grad,9,Transport-moving,0,0,United-States,Sagittarius
35,Federal-gov,HS-grad,9,Prof-specialty,0,0,United-States,Sagittarius
36,Private,Bachelors,13,Prof-specialty,0,1977,United-States,Virgo
54,Private,Masters,14,Adm-clerical,0,13005,United-States,Pisces
26,Private,Some-college,10,Adm-clerical,284823,0,United-States,Gemini
36,Private,HS-grad,9,Tech-support,234780,0,United-States,Libra
44,Private,10th,6,Transport-moving,0,0,United-States,Cancer
50,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Leo
51,Self-emp-inc,HS-grad,9,Exec-managerial,0,0,United-States,Sagittarius
24,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Pisces
35,Private,Masters,14,Sales,256727,0,United-States,Cancer
36,Private,Some-college,10,Exec-managerial,0,0,United-States,Taurus
58,Private,HS-grad,9,Adm-clerical,0,0,United-States,Cancer
32,Private,9th,5,Farming-fishing,0,0,United-States,Virgo
29,Private,Some-college,10,Protective-serv,0,0,United-States,Gemini
73,Local-gov,5th-6th,3,Prof-specialty,0,0,United-States,Pisces
48,?,Some-college,10,?,0,0,United-States,Aquarius
41,Private,Some-college,10,Exec-managerial,0,0,United-States,Libra
35,Private,HS-grad,9,Craft-repair,248508,0,United-States,Cancer
32,Private,Some-college,10,Machine-op-inspct,0,0,Philippines,Virgo
45,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Pisces
58,Private,9th,5,Other-service,0,0,United-States,Capricorn
37,Private,Bachelors,13,Exec-managerial,0,0,United-States,Virgo
50,Private,11th,7,Craft-repair,204721,0,United-States,Libra
38,Private,HS-grad,9,Other-service,0,0,United-States,Scorpio
25,Local-gov,HS-grad,9,Prof-specialty,0,0,United-States,Scorpio
51,Self-emp-not-inc,Prof-school,15,Prof-specialty,0,0,United-States,Scorpio
28,Private,HS-grad,9,Transport-moving,0,0,United-States,Scorpio
32,Private,Some-college,10,Craft-repair,0,0,Mexico,Scorpio
42,Private,Some-college,10,Prof-specialty,0,0,United-States,Virgo
39,Private,Bachelors,13,Sales,7298,0,United-States,Cancer
41,Self-emp-not-inc,Masters,14,Exec-managerial,272461,0,United-States,Taurus
37,Private,HS-grad,9,Machine-op-inspct,0,0,Portugal,Capricorn
53,State-gov,Masters,3,Farming-fishing,68264,71246,United-States,Virgo
28,Private,Bachelors,13,Adm-clerical,0,0,United-States,Taurus
45,Private,11th,7,Craft-repair,0,0,United-States,Cancer
37,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Libra
51,Federal-gov,HS-grad,9,Craft-repair,4386,0,United-States,Capricorn
42,Private,Some-college,10,Adm-clerical,217435,0,United-States,Gemini
24,Private,Bachelors,13,Exec-managerial,0,0,England,Leo
40,Private,HS-grad,9,Handlers-cleaners,260340,0,United-States,Cancer
24,Private,HS-grad,9,Transport-moving,0,0,Mexico,Libra
46,Private,5th-6th,3,Handlers-cleaners,0,0,Mexico,Capricorn
46,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Pisces
29,Private,Bachelors,13,Exec-managerial,0,0,United-States,Scorpio
59,Private,Masters,14,Craft-repair,0,0,Philippines,Leo
21,State-gov,Some-college,10,Adm-clerical,0,0,United-States,Aquarius
53,Private,11th,7,Handlers-cleaners,0,0,United-States,Aquarius
41,Private,Prof-school,15,Sales,0,0,United-States,Leo
38,Self-emp-not-inc,HS-grad,9,Craft-repair,294911,0,United-States,Scorpio
27,Private,Some-college,10,Sales,0,0,United-States,Virgo
61,?,HS-grad,9,?,0,0,United-States,Gemini
21,Private,Assoc-voc,11,Machine-op-inspct,0,0,United-States,Aquarius
35,Private,Assoc-voc,11,Adm-clerical,14344,12963,United-States,Pisces
51,Private,11th,7,Other-service,0,0,Jamaica,Capricorn
52,?,Preschool,1,?,0,0,Mexico,Capricorn
23,Self-emp-not-inc,HS-grad,9,Other-service,0,0,United-States,Leo
38,Self-emp-not-inc,Some-college,10,Machine-op-inspct,7688,0,United-States,Cancer
39,Private,HS-grad,9,Farming-fishing,0,0,United-States,Libra
28,Private,Some-college,10,Other-service,0,0,United-States,Sagittarius
49,Private,Some-college,10,Exec-managerial,7298,0,United-States,Taurus
30,Self-emp-not-inc,HS-grad,9,Prof-specialty,0,1977,United-States,Sagittarius
42,Private,Masters,14,Prof-specialty,0,0,United-States,Sagittarius
27,Self-emp-not-inc,Some-college,10,Farming-fishing,0,0,United-States,Capricorn
22,?,HS-grad,9,?,0,0,United-States,Scorpio
36,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
46,Private,HS-grad,9,Craft-repair,0,0,United-States,Taurus
30,State-gov,Bachelors,13,Adm-clerical,0,0,United-States,Pisces
46,Private,11th,7,Other-service,0,0,El-Salvador,Capricorn
43,State-gov,Prof-school,15,Prof-specialty,0,0,United-States,Leo
55,Private,Bachelors,13,Exec-managerial,0,0,United-States,Gemini
24,Private,9th,5,Machine-op-inspct,0,0,Dominican-Republic,Taurus
38,Private,HS-grad,9,Exec-managerial,7688,0,United-States,Virgo
79,Private,HS-grad,9,Prof-specialty,0,0,United-States,Capricorn
34,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Capricorn
30,Private,HS-grad,9,Tech-support,0,0,United-States,Aquarius
31,?,11th,7,?,0,0,United-States,Aquarius
41,Local-gov,Assoc-voc,11,Adm-clerical,0,0,United-States,Libra
28,Private,10th,6,Farming-fishing,0,0,Mexico,Scorpio
58,Federal-gov,Bachelors,13,Prof-specialty,4787,0,United-States,Pisces
25,Private,HS-grad,9,Craft-repair,0,0,United-States,Gemini
38,Private,Some-college,10,Exec-managerial,0,0,United-States,Aquarius
65,?,HS-grad,9,?,0,0,United-States,Aquarius
35,Private,7th-8th,4,Handlers-cleaners,0,0,Mexico,Cancer
25,Private,HS-grad,9,Exec-managerial,0,0,United-States,Capricorn
42,Local-gov,Masters,14,Prof-specialty,221151,0,United-States,Pisces
22,Private,HS-grad,9,Prof-specialty,219424,0,United-States,Leo
49,Private,Some-college,10,Sales,7688,0,United-States,Libra
36,Private,Bachelors,13,Adm-clerical,0,0,United-States,Capricorn
51,Self-emp-not-inc,HS-grad,9,Exec-managerial,99999,0,United-States,Libra
29,Private,HS-grad,9,Exec-managerial,0,0,Germany,Leo
38,Private,Some-college,10,Transport-moving,0,0,United-States,Libra
36,Private,HS-grad,9,Other-service,0,0,United-States,Aquarius
35,Self-emp-inc,Some-college,10,Sales,0,0,United-States,Aquarius
63,Self-emp-not-inc,Bachelors,13,Sales,0,0,United-States,Cancer
27,Self-emp-not-inc,Some-college,10,Other-service,0,0,United-States,Taurus
33,Private,HS-grad,9,Other-service,0,0,United-States,Taurus
25,Private,HS-grad,9,Adm-clerical,0,0,United-States,Sagittarius
52,Private,HS-grad,9,Adm-clerical,0,0,United-States,Libra
42,Private,Bachelors,13,Prof-specialty,0,0,United-States,Cancer
44,State-gov,Masters,14,Prof-specialty,0,0,United-States,Capricorn
75,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,United-States,Taurus
33,Private,Assoc-acdm,12,Prof-specialty,0,0,United-States,Capricorn
49,Self-emp-inc,Prof-school,15,Prof-specialty,0,0,United-States,Scorpio
36,Private,Assoc-voc,11,Exec-managerial,7298,0,United-States,Sagittarius
40,Private,Bachelors,13,Exec-managerial,0,0,China,Taurus
29,Private,Some-college,10,Prof-specialty,0,0,United-States,Pisces
25,Private,Assoc-acdm,12,Exec-managerial,0,0,United-States,Cancer
21,?,HS-grad,9,?,0,0,United-States,Capricorn
50,State-gov,Assoc-voc,11,Prof-specialty,0,0,United-States,Pisces
48,State-gov,Some-college,10,Exec-managerial,0,0,United-States,Virgo
43,Private,Some-college,10,Prof-specialty,0,0,United-States,Cancer
68,Private,7th-8th,4,Craft-repair,0,0,United-States,Virgo
44,Private,HS-grad,9,Other-service,0,0,United-States,Leo
53,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
27,Local-gov,HS-grad,9,Protective-serv,2174,0,United-States,Taurus
40,Private,HS-grad,9,Other-service,0,0,United-States,Gemini
27,Private,Assoc-voc,11,Adm-clerical,0,0,United-States,Aquarius
28,Private,Some-college,10,Adm-clerical,0,0,United-States,Sagittarius
53,Local-gov,HS-grad,9,Exec-managerial,0,0,United-States,Sagittarius
45,Private,Some-college,10,Sales,0,0,United-States,Taurus
73,Private,Some-college,10,Adm-clerical,20051,0,United-States,Scorpio
40,Local-gov,Masters,14,Prof-specialty,0,0,United-States,Gemini
22,State-gov,Some-college,10,Protective-serv,0,0,United-States,Aquarius
27,State-gov,Masters,14,Prof-specialty,0,0,China,Capricorn
56,Private,12th,8,Other-service,0,0,United-States,Pisces
31,Self-emp-inc,Assoc-voc,11,Farming-fishing,0,0,United-States,Leo
43,Private,Bachelors,13,Adm-clerical,0,0,Germany,Scorpio
68,Private,HS-grad,9,Protective-serv,0,0,United-States,Leo
70,Self-emp-inc,HS-grad,9,Exec-managerial,0,0,United-States,Libra
72,Private,HS-grad,9,Sales,0,0,United-States,Sagittarius
21,Private,HS-grad,9,Handlers-cleaners,3674,0,United-States,Gemini
24,Private,Bachelors,13,Sales,0,0,United-States,Pisces
32,Private,HS-grad,9,Prof-specialty,0,0,United-States,Gemini
36,Private,Bachelors,13,Exec-managerial,0,0,United-States,Taurus
38,Private,Bachelors,13,Prof-specialty,0,0,United-States,Libra
58,Private,9th,5,Farming-fishing,0,0,United-States,Gemini
29,Private,Some-college,10,Craft-repair,229357,0,United-States,Sagittarius
32,Private,Some-college,10,Exec-managerial,0,0,United-States,Libra
50,Private,HS-grad,9,Craft-repair,4386,0,?,Aquarius
21,Private,Some-college,10,Sales,0,0,United-States,Pisces
47,Self-emp-not-inc,Some-college,10,Other-service,0,0,United-States,Virgo
29,Private,Assoc-voc,11,Adm-clerical,210329,0,United-States,Leo
37,Private,Some-college,10,Transport-moving,0,0,United-States,Leo
21,Private,Some-college,10,Craft-repair,0,0,United-States,Libra
44,Private,HS-grad,9,Transport-moving,0,0,United-States,Gemini
62,Private,Assoc-voc,11,Exec-managerial,0,0,United-States,Libra
41,Private,Bachelors,13,Prof-specialty,0,0,United-States,Pisces
22,Private,10th,6,Craft-repair,224518,0,United-States,Aquarius
25,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,United-States,Scorpio
23,Private,Some-college,10,Craft-repair,0,0,United-States,Taurus
35,Private,Bachelors,13,Sales,0,12254,United-States,Aquarius
45,Federal-gov,Bachelors,13,Adm-clerical,0,0,United-States,Pisces
39,Private,Assoc-acdm,12,Craft-repair,0,0,United-States,Scorpio
32,Private,Some-college,10,Adm-clerical,0,0,United-States,Sagittarius
43,Local-gov,Masters,14,Prof-specialty,254086,0,United-States,Leo
57,Private,HS-grad,9,Adm-clerical,0,0,United-States,Capricorn
40,Private,9th,5,Craft-repair,0,0,United-States,Pisces
30,Private,HS-grad,9,Exec-managerial,0,0,United-States,Taurus
28,Self-emp-not-inc,HS-grad,9,Craft-repair,0,0,United-States,Cancer
37,Local-gov,HS-grad,9,Other-service,0,0,United-States,Leo
48,Private,7th-8th,4,Transport-moving,0,1672,United-States,Gemini
64,Private,Bachelors,13,Exec-managerial,267620,0,United-States,Taurus
25,Private,Bachelors,13,Exec-managerial,0,0,United-States,Sagittarius
51,Self-emp-not-inc,Bachelors,13,Sales,202710,2415,China,Aquarius
42,Private,HS-grad,9,Exec-managerial,0,0,United-States,Capricorn
65,Private,11th,7,Other-service,0,0,United-States,Sagittarius
36,Private,Some-college,10,Craft-repair,0,0,United-States,Leo
28,Private,Bachelors,13,Adm-clerical,0,0,?,Virgo
48,Private,Some-college,10,Exec-managerial,0,0,Ireland,Gemini
31,Private,10th,6,Handlers-cleaners,0,0,United-States,Taurus
46,?,HS-grad,9,?,0,0,United-States,Sagittarius
83,Never-worked,Masters,14,Sales,217062,88234,Greece,Leo
28,Private,Some-college,10,Adm-clerical,0,0,United-States,Taurus
23,Private,Some-college,10,Adm-clerical,0,0,United-States,Libra
21,Private,HS-grad,9,Adm-clerical,216643,0,United-States,Gemini
53,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Scorpio
44,Private,Prof-school,15,Prof-specialty,0,0,United-States,Cancer
42,Local-gov,Assoc-voc,11,Prof-specialty,0,0,United-States,Gemini
24,State-gov,Bachelors,13,Adm-clerical,0,0,United-States,Gemini
46,Local-gov,HS-grad,9,Prof-specialty,0,0,United-States,Libra
40,Private,Masters,14,Prof-specialty,0,0,United-States,Leo
21,Private,HS-grad,9,Prof-specialty,0,0,United-States,Taurus
39,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Virgo
40,Federal-gov,Prof-school,15,Prof-specialty,7688,0,United-States,Virgo
28,Local-gov,HS-grad,9,Adm-clerical,5721,0,United-States,Pisces
28,Private,HS-grad,9,Other-service,0,0,United-States,Libra
34,Local-gov,Masters,14,Exec-managerial,0,0,United-States,Cancer
60,Private,HS-grad,9,Prof-specialty,0,0,United-States,Virgo
28,Self-emp-inc,HS-grad,9,Exec-managerial,0,0,United-States,Leo
24,State-gov,Assoc-acdm,12,Adm-clerical,0,0,United-States,Taurus
49,?,HS-grad,9,?,0,0,United-States,Pisces
47,Private,Assoc-acdm,12,Sales,5178,0,United-States,Scorpio
29,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Virgo
28,Private,Assoc-acdm,12,Sales,0,0,United-States,Sagittarius
65,Private,Masters,14,Prof-specialty,0,13070,United-States,Scorpio
49,Private,HS-grad,9,Craft-repair,232221,0,United-States,Capricorn
24,Private,Bachelors,13,Exec-managerial,0,0,United-States,Libra
45,Self-emp-not-inc,HS-grad,9,Sales,15024,0,United-States,Scorpio
63,Private,7th-8th,4,Other-service,0,0,United-States,Aquarius
61,Federal-gov,HS-grad,9,Adm-clerical,0,0,United-States,Virgo
38,Private,9th,5,Handlers-cleaners,0,0,United-States,Scorpio
34,Private,HS-grad,9,Sales,0,0,United-States,Cancer
31,Local-gov,HS-grad,9,Machine-op-inspct,0,0,United-States,Pisces
23,Self-emp-not-inc,1st-4th,2,Sales,0,0,United-States,Sagittarius
47,Private,HS-grad,9,Machine-op-inspct,0,0,Puerto-Rico,Pisces
49,Private,Bachelors,13,Adm-clerical,0,0,Philippines,Sagittarius
44,Self-emp-not-inc,Prof-school,15,Prof-specialty,0,0,United-States,Capricorn
45,Self-emp-not-inc,Assoc-voc,11,Protective-serv,0,0,United-States,Pisces
37,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Capricorn
34,Self-emp-not-inc,Assoc-voc,11,Craft-repair,0,0,United-States,Gemini
34,Private,HS-grad,9,Other-service,0,0,United-States,Scorpio
43,State-gov,Some-college,10,Adm-clerical,0,0,United-States,Taurus
32,Private,HS-grad,9,Sales,0,1902,United-States,Virgo
59,Private,11th,7,Machine-op-inspct,215812,0,United-States,Sagittarius
21,Private,Some-college,10,Other-service,0,0,United-States,Taurus
22,Private,Bachelors,13,Sales,267510,0,United-States,Pisces
23,Private,Some-college,10,Other-service,0,0,United-States,Capricorn
60,Private,Some-college,10,Craft-repair,0,0,United-States,Taurus
29,Private,HS-grad,9,Adm-clerical,0,0,United-States,Scorpio
51,Private,HS-grad,9,Other-service,0,0,United-States,Sagittarius
32,Private,11th,7,Other-service,0,0,United-States,Taurus
32,Federal-gov,Some-college,10,Tech-support,0,0,United-States,Pisces
40,Private,Some-college,10,Craft-repair,223176,0,United-States,Sagittarius
36,Private,Bachelors,13,Tech-support,0,0,United-States,Aquarius
25,Private,Bachelors,13,Prof-specialty,0,0,United-States,Libra
27,Private,Bachelors,13,Tech-support,0,0,United-States,Gemini
27,Private,Some-college,10,Prof-specialty,0,0,United-States,Libra
62,?,Bachelors,13,?,0,0,United-States,Gemini
39,Local-gov,HS-grad,9,Protective-serv,242287,0,United-States,Capricorn
58,Private,Bachelors,13,Exec-managerial,0,0,United-States,Libra
54,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
30,Private,HS-grad,9,Other-service,0,0,United-States,Libra
31,Self-emp-inc,Some-college,10,Exec-managerial,0,0,South,Capricorn
25,Private,Assoc-acdm,12,Craft-repair,0,12289,United-States,Cancer
47,Private,HS-grad,9,Craft-repair,0,0,United-States,Cancer
33,Self-emp-not-inc,Bachelors,13,Transport-moving,0,0,?,Taurus
63,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Libra
70,Private,HS-grad,9,Sales,3432,0,United-States,Libra
31,Private,Some-college,10,Craft-repair,0,1579,United-States,Gemini
28,Local-gov,HS-grad,9,Craft-repair,208864,0,United-States,Pisces
68,Private,HS-grad,9,Sales,0,0,United-States,Pisces
25,Private,Some-college,10,Sales,0,0,United-States,Capricorn
26,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
44,Local-gov,HS-grad,9,Protective-serv,0,0,United-States,Sagittarius
29,Private,HS-grad,9,Sales,0,0,United-States,Aquarius
22,Private,HS-grad,9,Other-service,256895,0,United-States,Pisces
42,Self-emp-not-inc,Prof-school,15,Prof-specialty,0,1902,United-States,Aquarius
29,Private,HS-grad,9,Craft-repair,264855,0,United-States,Leo
48,Local-gov,Bachelors,13,Adm-clerical,0,0,Philippines,Gemini
27,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Cancer
63,Private,Bachelors,13,Craft-repair,0,0,South,Capricorn
23,?,Bachelors,13,?,0,13634,United-States,Aquarius
26,?,Some-college,10,?,0,0,United-States,Leo
90,Local-gov,HS-grad,9,Other-service,6767,0,United-States,Pisces
48,Private,10th,6,Craft-repair,0,0,United-States,Pisces
21,Private,Some-college,10,Other-service,0,0,United-States,Leo
26,Private,Bachelors,13,Prof-specialty,289032,0,United-States,Gemini
39,Private,HS-grad,9,Craft-repair,256373,0,United-States,Cancer
25,Private,Bachelors,13,Sales,0,0,United-States,Taurus
53,Private,HS-grad,9,Craft-repair,0,0,United-States,Scorpio
50,Self-emp-inc,Prof-school,15,Prof-specialty,7688,13105,Philippines,Cancer
35,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Pisces
39,?,Some-college,10,?,0,0,United-States,Aquarius
37,Private,Bachelors,13,Handlers-cleaners,0,0,United-States,Gemini
43,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Libra
40,Private,HS-grad,9,Sales,0,0,United-States,Gemini
39,Private,Masters,14,Prof-specialty,259424,1977,United-States,Scorpio
28,Private,10th,6,Craft-repair,272050,0,United-States,Leo
33,Private,12th,8,Adm-clerical,288595,0,United-States,Sagittarius
47,Private,HS-grad,9,Other-service,0,0,United-States,Sagittarius
53,Private,10th,6,Other-service,0,0,United-States,Libra
40,Federal-gov,Masters,14,Exec-managerial,14084,0,United-States,Aquarius
43,Private,Bachelors,13,Sales,0,11230,United-States,Taurus
31,Local-gov,Assoc-acdm,12,Adm-clerical,0,0,United-States,Cancer
46,Private,Some-college,10,Other-service,5013,0,United-States,Leo
36,Private,Bachelors,13,Sales,0,1977,United-States,Leo
34,Private,HS-grad,9,Craft-repair,0,0,United-States,Scorpio
63,Private,HS-grad,9,Prof-specialty,242266,0,United-States,Gemini
24,Private,HS-grad,9,Other-service,0,0,?,Pisces
66,Private,Bachelors,13,Sales,0,0,United-States,Scorpio
43,Self-emp-not-inc,Some-college,10,Sales,7298,0,Mexico,Leo
47,?,Assoc-voc,11,?,0,0,United-States,Sagittarius
41,Private,Bachelors,13,Sales,0,0,United-States,Leo
21,Private,HS-grad,9,Craft-repair,0,0,United-States,Leo
48,Private,Bachelors,13,Exec-managerial,207397,0,United-States,Aquarius
47,Local-gov,Bachelors,13,Prof-specialty,0,0,United-States,Gemini
48,Self-emp-not-inc,HS-grad,9,Farming-fishing,0,0,United-States,Aquarius
26,Private,Bachelors,13,Adm-clerical,0,0,United-States,Capricorn
28,Private,Masters,14,Tech-support,0,0,United-States,Sagittarius
29,Private,Assoc-voc,11,Craft-repair,0,0,United-States,Scorpio
51,Private,HS-grad,9,Craft-repair,0,0,United-States,Capricorn
24,Private,Some-college,10,Prof-specialty,0,0,United-States,Gemini
70,Self-emp-not-inc,HS-grad,9,Other-service,2329,0,United-States,Gemini
30,Private,Bachelors,13,Adm-clerical,7298,13369,United-States,Aquarius
27,Private,Assoc-acdm,12,Exec-managerial,0,0,United-States,Pisces
26,Private,HS-grad,9,Machine-op-inspct,0,0,United-States,Aquarius
42,Private,Assoc-voc,11,Prof-specialty,200151,0,United-States,Aquarius
29,Local-gov,HS-grad,9,Other-service,0,0,United-States,Libra
59,Private,Bachelors,13,Sales,0,0,United-States,Pisces
47,Private,Some-college,10,Transport-moving,0,0,United-States,Cancer
33,Self-emp-not-inc,Assoc-voc,11,Farming-fishing,0,0,United-States,Leo
61,Private,Some-college,10,Sales,0,0,United-States,Gemini
60,?,Some-college,10,?,0,0,United-States,Capricorn
47,Private,Some-college,10,Tech-support,0,0,United-States,Leo
34,Private,HS-grad,9,Transport-moving,0,0,United-States,Sagittarius
51,Private,Bachelors,13,Exec-managerial,0,0,United-States,Aquarius
67,?,Bachelors,13,?,0,0,United-States,Sagittarius
29,Private,HS-grad,9,Craft-repair,0,0,United-States,Aquarius
27,Private,Some-college,10,Adm-clerical,0,0,United-States,Pisces
24,State-gov,Bachelors,13,Prof-specialty,0,0,United-States,Cancer
31,Private,Some-college,10,Machine-op-inspct,0,0,United-States,Leo
62,Self-emp-not-inc,Some-college,10,Exec-managerial,290400,0,United-States,Cancer
51,Private,HS-grad,9,Protective-serv,0,0,United-States,Libra
25,Private,Masters,14,Other-service,0,0,United-States,Cancer
26,Private,Bachelors,13,Adm-clerical,0,0,United-States,Cancer
34,Self-emp-inc,HS-grad,9,Exec-managerial,0,2002,United-States,Scorpio
36,Private,HS-grad,9,Handlers-cleaners,0,0,United-States,Cancer
39,Private,Masters,14,Exec-managerial,0,1848,United-States,Virgo
27,Private,HS-grad,9,Transport-moving,0,0,United-States,Capricorn
49,Federal-gov,Some-college,10,Craft-repair,0,0,United-States,Pisces
